user_genome,domain,phylum,class,order,family,genus,species,red_value,completeness,contamination,strain_heterogeneity,3%_rpkm,31%_rpkm,39%_rpkm,78%_rpkm,hydrogenase,hyd_type_group,hyd_affinity,3%_tpm,31%_tpm,39%_tpm,78%_tpm
pbs_bin_1,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__Baltobacterales,f__Baltobacteraceae,g__,s__,0.88699,87.45,2.69,80,10.137805,13.5208235,12.470232,13.493853,no,NA,NA,783526.25,387398.06,353465.97,348599.34
pbs_bin_10,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__ATCC43930,f__Stellaceae,g__,s__,0.8222,82.57,8.07,0,10.996389,5.614346,7.1865926,6.390882,no,NA,NA,88352.02,39563.55,47364.27,54500.316
pbs_bin_11,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Paraburkholderia,s__,0.99259,72.92,5.17,75,1.7844449,10.169981,6.988318,10.628373,yes,NiFe_4f,NA,0,31761.852,40756.75,51430.37
pbs_bin_12,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Methylovirgula,s__,0.93549,90.75,3.21,26.32,14.514525,7.9396243,11.528881,9.92917,no,NA,NA,0,0,0,0
pbs_bin_13,d__Bacteria,p__Acidobacteriota,c__Terriglobia,o__Terriglobales,f__Acidobacteriaceae,g__Granulicella_D,s__,0.92671,77.66,0.86,100,28.416147,16.098577,24.870346,20.877737,yes,NiFe_1h,HA,55484.375,33194.734,34863.99,39894.336
pbs_bin_14,d__Bacteria,p__Pseudomonadota,c__Gammaproteobacteria,o__Burkholderiales,f__Burkholderiaceae,g__Scleromatobacter,s__,0.95027,79.31,2.13,8,0,4.2153735,5.2576036,8.695862,no,NA,NA,72637.37,37775.406,46001.355,59812.61
pbs_bin_2,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Roseiarcus,s__,0.96213,93.4,8.54,32.56,12.131338,10.929301,12.533511,12.386572,no,NA,NA,0,64734.89,69653.61,73612.28
pbs_bin_3,d__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__Sphingobacteriaceae,g__Mucilaginibacter,s__,0.98463,97.14,0.71,0,0,5.363259,7.672909,17.73655,no,NA,NA,0,0,0,0
pbs_bin_4,d__Bacteria,p__Eremiobacterota,c__Eremiobacteria,o__Baltobacterales,f__Baltobacteraceae,g__Aquilonibacter,s__,0.94464,81.07,0.46,100,23.395966,18.534151,19.497572,16.939945,yes,NiFe_1h,HA,0,31365.428,33749.504,40988.563
pbs_bin_5,d__Bacteria,p__Acidobacteriota,c__Terriglobia,o__Terriglobales,f__Acidobacteriaceae,g__PALSA-350,s__,0.91234,76.63,9.96,34.48,30.708147,27.385572,29.648605,28.103432,yes,NiFe_1h,HA,0,25188.941,31756.893,0
pbs_bin_6,d__Bacteria,p__Acidobacteriota,c__Terriglobia,o__Terriglobales,f__Acidobacteriaceae,g__Occallatibacter,s__,0.97996,77.08,3.32,12.5,28.480152,39.67363,31.228758,26.07402,yes,NiFe_1h and FeFe_C2,HA,0,107534.06,92272.95,96536.45
pbs_bin_7,d__Bacteria,p__Desulfobacterota_B,c__Binatia,o__Binatales,f__Binataceae,g__,s__,0.87084,87.11,2.46,33.33,9.09791,6.2559323,6.733263,6.1700287,yes,FeFe_C3,NA,0,170741.72,170723.19,146711.52
pbs_bin_8,d__Bacteria,p__Pseudomonadota,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Palsa-881,s__,0.98515,76.76,6.26,73.33,31.29882,32.38935,28.134485,28.148127,no,NA,NA,0,70741.32,79391.46,87914.15
pbs_bin_9,d__Bacteria,p__Acidobacteriota,c__Terriglobia,o__Bryobacterales,f__Bryobacteraceae,g__Bog-105,s__,0.95685,97.39,9.66,17.65,13.302449,10.989527,9.318266,8.584098,yes,NiFe_1h,HA,0,0,0,0